'Lat','Long',
3956.3698,11623.9387,255
3956.3698,11623.9388,255
3956.3699,11623.9389,254
3956.37,11623.939,254
3956.37,11623.9391,254
3956.37,11623.9392,254
3956.3701,11623.9393,253
3956.3701,11623.9394,253
3956.3702,11623.9394,253
3956.3703,11623.9395,253
3956.3703,11623.9395,253
3956.3704,11623.9395,253
3956.3705,11623.9396,252
3956.3705,11623.9396,252
3956.3706,11623.9396,252
3956.3707,11623.9396,252
3956.3706,11623.9396,252
3956.3706,11623.9397,252
3956.3706,11623.9398,252
3956.3706,11623.9398,252
3956.3706,11623.9399,252
3956.3707,11623.94,252
3956.3708,11623.94,252
3956.3708,11623.94,251
3956.3708,11623.94,251
3956.3708,11623.94,251
3956.3709,11623.94,251
3956.3709,11623.9399,251
3956.3709,11623.9398,251
3956.3709,11623.9397,251
3956.3709,11623.9397,251
3956.371,11623.9398,251
3956.371,11623.9399,251
3956.371,11623.9399,251
3956.3709,11623.9399,251
3956.3709,11623.9399,251
3956.3709,11623.9398,251
3956.3709,11623.9398,250
3956.3708,11623.9397,250
3956.3707,11623.9397,250
3956.3707,11623.9395,252
3956.3706,11623.9394,253
3956.3706,11623.9393,254
3956.3705,11623.9392,255
3956.3705,11623.9391,256
3956.3704,11623.9389,258
3956.3704,11623.9387,258
3956.3703,11623.9385,259
3956.3702,11623.9384,258
3956.3702,11623.9383,257
3956.3701,11623.9382,257
3956.3701,11623.9382,258
3956.3701,11623.9381,258
3956.3701,11623.9381,257
3956.3701,11623.9381,258
3956.3701,11623.938,258
3956.37,11623.9379,259
3956.37,11623.9378,260
3956.37,11623.9378,260
3956.37,11623.9378,260
3956.37,11623.9378,260
3956.37,11623.9378,261
3956.37,11623.9378,261
3956.37,11623.9378,261
3956.37,11623.9379,261
3956.37,11623.9378,261
3956.37,11623.9378,261
3956.3699,11623.9377,260
3956.3699,11623.9377,259
3956.3699,11623.9376,259
3956.3698,11623.9373,259
3956.3698,11623.9371,258
3956.3697,11623.937,258
3956.3697,11623.9369,257
3956.3697,11623.9367,257
3956.3697,11623.9365,256
3956.3697,11623.9364,256
3956.3697,11623.9364,256
3956.3697,11623.9364,255
3956.3697,11623.9365,255
3956.3696,11623.9365,255
3956.3696,11623.9366,255
3956.3695,11623.9367,254
3956.3695,11623.9367,254
3956.3695,11623.9367,254
3956.3695,11623.9366,254
3956.3694,11623.9364,253
3956.3694,11623.9363,253
3956.3693,11623.9362,253
3956.3692,11623.9361,252
3956.3691,11623.936,252
3956.369,11623.9359,252
3956.3689,11623.9358,252
3956.3688,11623.9356,252
3956.3687,11623.9355,251
3956.3688,11623.9353,251
3956.3688,11623.9354,251
3956.3688,11623.9355,250
3956.3689,11623.9355,250
3956.369,11623.9355,250
3956.369,11623.9355,250
3956.369,11623.9355,250
3956.369,11623.9355,249
3956.3691,11623.9355,249
3956.3691,11623.9354,249
3956.3692,11623.9353,249
3956.3692,11623.9353,248
3956.3692,11623.9353,248
3956.3692,11623.9352,248
3956.3693,11623.9349,247
3956.3693,11623.9349,247
3956.3695,11623.935,247
3956.3696,11623.9352,246
3956.3698,11623.9353,246
3956.3699,11623.9355,246
3956.37,11623.9356,246
3956.3702,11623.9356,245
3956.3703,11623.9356,245
3956.3703,11623.9356,245
3956.3704,11623.9357,245
3956.3704,11623.9357,244
3956.3705,11623.9358,244
3956.3705,11623.9358,244
3956.3706,11623.9357,243
3956.3706,11623.9358,243
3956.3707,11623.9359,243
3956.3707,11623.9358,243
3956.3706,11623.9358,243
3956.3705,11623.9357,242
3956.3703,11623.9354,242
3956.3698,11623.9355,241
3956.3695,11623.9358,240
3956.3691,11623.9362,240
3956.3686,11623.9364,240
3956.3681,11623.9366,239
3956.3678,11623.9367,239
3956.3674,11623.9369,242
3956.3672,11623.9371,248
3956.3666,11623.9372,247
3956.3662,11623.9372,247
3956.3654,11623.9373,246
3956.3649,11623.9375,245
3956.3643,11623.9375,244
3956.3638,11623.9376,244
3956.3628,11623.9377,243
3956.3619,11623.9377,243
3956.3613,11623.9377,242
3956.3609,11623.938,242
3956.3603,11623.9381,242
3956.3599,11623.9383,241
3956.3591,11623.9386,241
3956.3582,11623.9389,241
3956.3576,11623.939,240
3956.357,11623.9391,240
3956.3565,11623.9392,240
3956.356,11623.9392,240
3956.3556,11623.9392,239
3956.3551,11623.939,239
3956.3548,11623.9388,239
3956.3546,11623.9384,239
3956.3544,11623.9383,239
3956.3543,11623.9382,239
3956.3541,11623.9383,239
3956.3538,11623.9383,238
3956.3535,11623.9385,238
3956.3528,11623.9386,238
3956.352,11623.9385,238
3956.351,11623.9386,237
3956.3506,11623.9387,237
3956.3507,11623.9388,237
3956.3507,11623.939,237
3956.3515,11623.939,237
3956.3514,11623.939,236
3956.3508,11623.9392,236
3956.3506,11623.9393,236
